year2,job_creation_continuers,comp_job_creation_continuers
1978,9504760,9497160
1979,9445820,9457910
1980,8150470,8143360
1981,7578770,7589820
1982,7446820,7448260
1983,7745080,7746310
1984,9584860,9595240
1985,9282630,9275200
1986,9238290,9229540
1987,9488780,9488700
1988,10223760,10209750
1989,10328930,10336590
1990,9789880,9785570
1991,8620320,8628380
1992,9761600,9755920
1993,10225720,10224130
1994,9747750,9748410
1995,10329990,10326890
1996,9986250,9987850
1997,11643170,11639670
1998,11379250,11373230
1999,11297340,11310030
2000,12230990,12233860
2001,11385140,11385450
2002,11066940,11070730
2003,11519430,11520400
2004,11407600,11407680
2005,10909580,10909320
2006,11889870,11882120
2007,12410110,12402620
2008,11239530,11246500
2009,8465550,8474220
2010,8673260,8652570
2011,10072670,10064080
2012,11311940,11279400
2013,10750750,10739940
