year2,denom,comp_denom
1978,67835160,67855010
1979,71831980,71856100
1980,74287350,74390840
1981,73590410,73588160
1982,73949270,74050070
1983,73466770,73590380
1984,75063960,75008860
1985,79559370,79581530
1986,82132210,82165890
1987,84903600,84881480
1988,85985520,86060180
1989,88979790,88880840
1990,91435830,91491420
1991,91986980,91973750
1992,91484070,91582240
1993,92477740,92476270
1994,94063550,94104850
1995,96686550,96722070
1996,99495510,99426880
1997,101839650,101869750
1998,104693910,104731340
1999,107853080,107872100
2000,110849910,110838720
2001,113951990,113782440
2002,113026370,113055640
2003,111659810,111899620
2004,112879080,112985090
2005,114392230,114476130
2006,116880610,116956430
2007,119192980,119192840
2008,119603750,119607280
2009,116525340,116537760
2010,112128340,112043560
2011,111639360,111504390
2012,113592450,113559760
2013,,115889560
